enrichment_type,subtype,retrieval_method,strategy,metric,mean,median,std,min,max,count
question_types,How-To,elser,lastturn,R@1,0.17520833333,0.0,0.2548129364034856,0.0,1.0,80
question_types,How-To,elser,lastturn,R@3,0.38220238095125,0.3333333333,0.3870023246048559,0.0,1.0,80
question_types,How-To,elser,lastturn,R@5,0.44199404762125,0.36666666665000003,0.4029216122540448,0.0,1.0,80
question_types,How-To,elser,lastturn,R@10,0.5669940476212499,0.6666666667,0.41000832457843345,0.0,1.0,80
question_types,How-To,elser,lastturn,nDCG@1,0.4,0.0,0.49298881801065664,0.0,1.0,80
question_types,How-To,elser,lastturn,nDCG@3,0.40129309741624997,0.296081911,0.3904854746814915,0.0,1.0,80
question_types,How-To,elser,lastturn,nDCG@5,0.41512814692,0.3886164286,0.37891819342494865,0.0,1.0,80
question_types,How-To,elser,lastturn,nDCG@10,0.469307714125,0.469278726,0.3718147043938913,0.0,1.0,80
question_types,How-To,elser,rewrite,R@1,0.19145833332875,0.0,0.2685193258201503,0.0,1.0,80
question_types,How-To,elser,rewrite,R@3,0.40699404761875,0.3333333333,0.39551348528450936,0.0,1.0,80
question_types,How-To,elser,rewrite,R@5,0.46845238095499997,0.5,0.40768182340103754,0.0,1.0,80
question_types,How-To,elser,rewrite,R@10,0.619077380955,0.6666666667,0.3954848452613558,0.0,1.0,80
question_types,How-To,elser,rewrite,nDCG@1,0.425,0.0,0.4974619125424375,0.0,1.0,80
question_types,How-To,elser,rewrite,nDCG@3,0.4239485104425,0.3414673591,0.39799089074383637,0.0,1.0,80
question_types,How-To,elser,rewrite,nDCG@5,0.4410697576425,0.4337116338,0.38566561483266387,0.0,1.0,80
question_types,How-To,elser,rewrite,nDCG@10,0.50617513851625,0.5035299665,0.3647583628163317,0.0,1.0,80
question_types,How-To,elser,questions,R@1,0.10458333333125,0.0,0.21741957789957136,0.0,1.0,80
question_types,How-To,elser,questions,R@3,0.239791666665,0.0,0.3555912031082241,0.0,1.0,80
question_types,How-To,elser,questions,R@5,0.311041666665,0.0,0.40702294476778,0.0,1.0,80
question_types,How-To,elser,questions,R@10,0.39375000000125,0.225,0.4351259174034457,0.0,1.0,80
question_types,How-To,elser,questions,nDCG@1,0.2375,0.0,0.4282360049661484,0.0,1.0,80
question_types,How-To,elser,questions,nDCG@3,0.2467567164075,0.0,0.365949448654409,0.0,1.0,80
question_types,How-To,elser,questions,nDCG@5,0.27546242077,0.0,0.37454014419084697,0.0,1.0,80
question_types,How-To,elser,questions,nDCG@10,0.3093337355325,0.116828222,0.37384707831212155,0.0,1.0,80
question_types,How-To,bm25,lastturn,R@1,0.07375,0.0,0.2038789628794055,0.0,1.0,80
question_types,How-To,bm25,lastturn,R@3,0.17083333333125,0.0,0.3114041968872237,0.0,1.0,80
question_types,How-To,bm25,lastturn,R@5,0.2264583333325,0.0,0.348027329605826,0.0,1.0,80
question_types,How-To,bm25,lastturn,R@10,0.27125000000125,0.0,0.3717425326081833,0.0,1.0,80
question_types,How-To,bm25,lastturn,nDCG@1,0.15,0.0,0.3593242603145979,0.0,1.0,80
question_types,How-To,bm25,lastturn,nDCG@3,0.17415448978,0.0,0.32049826845949636,0.0,1.0,80
question_types,How-To,bm25,lastturn,nDCG@5,0.1916348348325,0.0,0.3136307041309197,0.0,1.0,80
question_types,How-To,bm25,lastturn,nDCG@10,0.2101246046125,0.0,0.31694372630271955,0.0,1.0,80
question_types,How-To,bm25,rewrite,R@1,0.080625,0.0,0.20962164949060424,0.0,1.0,80
question_types,How-To,bm25,rewrite,R@3,0.19249999999875,0.0,0.3305038135110603,0.0,1.0,80
