task_id,conversation_id,turn_id,domain,query_length_chars,query_length_words,has_question_mark,has_wh_word,num_capitalized_words,num_numbers,query_text,answerability,question_type,multi_turn_type,conversation_length,num_previous_turns,is_first_turn,elser_lastturn_recall_1,elser_lastturn_recall_3,elser_lastturn_recall_5,elser_lastturn_recall_10,elser_lastturn_ndcg_cut_1,elser_lastturn_ndcg_cut_3,elser_lastturn_ndcg_cut_5,elser_lastturn_ndcg_cut_10,elser_rewrite_recall_1,elser_rewrite_recall_3,elser_rewrite_recall_5,elser_rewrite_recall_10,elser_rewrite_ndcg_cut_1,elser_rewrite_ndcg_cut_3,elser_rewrite_ndcg_cut_5,elser_rewrite_ndcg_cut_10,elser_questions_recall_1,elser_questions_recall_3,elser_questions_recall_5,elser_questions_recall_10,elser_questions_ndcg_cut_1,elser_questions_ndcg_cut_3,elser_questions_ndcg_cut_5,elser_questions_ndcg_cut_10,best_score,best_combo
29e3ec96a6e8916a0326ebcdab78abae<::>6,29e3ec96a6e8916a0326ebcdab78abae,6,clapnq,91,15,True,False,1,0,"That is too bad.  Although the movement was non-violent, some ended up in violence, right? ",ANSWERABLE,Summarization,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
b2805ee4c478194c234e2384ffb0a6bf<::>3,b2805ee4c478194c234e2384ffb0a6bf,3,clapnq,51,9,True,True,0,0,By how much did the cotton gin increase production?,ANSWERABLE,Summarization,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
dd82f0f978316e73618cf0addd369cd8<::>9,dd82f0f978316e73618cf0addd369cd8,9,clapnq,129,25,False,False,1,0,I like ice hockey as my sons were great players in the High school and also played for club hockey during their years in college.,ANSWERABLE,Non-Question,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
694e275f1a01ad0e8ac448ad809f7930<::>6,694e275f1a01ad0e8ac448ad809f7930,6,clapnq,151,30,True,False,0,0,"I can see that play any sport soccer any other needs some talend and a lot practices and some body, but is there any special diet become a good player?",ANSWERABLE,Factoid,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1c0e5e78f1a16ea2eb2165b6aa31dc61<::>2,1c0e5e78f1a16ea2eb2165b6aa31dc61,2,clapnq,18,4,True,False,0,0,any reason to end?,PARTIAL,Explanation,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1c0e5e78f1a16ea2eb2165b6aa31dc61<::>3,1c0e5e78f1a16ea2eb2165b6aa31dc61,3,clapnq,38,8,True,True,0,0,who was the arch rival to this series?,PARTIAL,Factoid,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1c0e5e78f1a16ea2eb2165b6aa31dc61<::>5,1c0e5e78f1a16ea2eb2165b6aa31dc61,5,clapnq,10,2,False,False,0,0,any awards,ANSWERABLE,Factoid,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1c0e5e78f1a16ea2eb2165b6aa31dc61<::>7,1c0e5e78f1a16ea2eb2165b6aa31dc61,7,clapnq,52,11,True,True,2,0,"no, I meant which TV series was the best in history?",ANSWERABLE,Comparative,Clarification,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1c0e5e78f1a16ea2eb2165b6aa31dc61<::>8,1c0e5e78f1a16ea2eb2165b6aa31dc61,8,clapnq,37,8,True,True,2,0,So what is the next after The Office?,PARTIAL,Factoid,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33431330abb38298cc79b96b2f4fde2a<::>4,33431330abb38298cc79b96b2f4fde2a,4,clapnq,12,3,True,True,0,0,Why it fall?,ANSWERABLE,Explanation,Clarification,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33431330abb38298cc79b96b2f4fde2a<::>5,33431330abb38298cc79b96b2f4fde2a,5,clapnq,18,4,True,True,0,0,When was it found?,ANSWERABLE,Explanation,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33431330abb38298cc79b96b2f4fde2a<::>6,33431330abb38298cc79b96b2f4fde2a,6,clapnq,57,11,False,True,1,0,Stay within the boundaries of what is now known as Italy.,ANSWERABLE,Non-Question,Clarification,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fd99b316e5e64f19ff938598aea9b285<::>2,fd99b316e5e64f19ff938598aea9b285,2,clapnq,37,8,True,True,1,0,What is it called outside of the USA?,ANSWERABLE,Factoid,Clarification,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fd99b316e5e64f19ff938598aea9b285<::>4,fd99b316e5e64f19ff938598aea9b285,4,clapnq,27,5,True,True,0,0,Which is the most popular? ,ANSWERABLE,Comparative,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
