task_id,oracle_combination,oracle_retriever,oracle_strategy,oracle_score,conversation_id,turn_id,domain,query_length_chars,query_length_words,has_question_mark,has_wh_word,num_capitalized_words,num_numbers,answerability,question_type,multi_turn_type,is_first_turn
33431330abb38298cc79b96b2f4fde2a<::>2,elser_rewrite,elser,rewrite,1.0,46,2,clapnq,22,4,True,True,0,0,ANSWERABLE,Summarization,Follow-up,False
8a19ee37ca7d97eaddbe2e19ca600556<::>4,bm25_lastturn,bm25,lastturn,0.6131471928,68,4,govt,50,11,True,False,1,0,ANSWERABLE,Opinion,Follow-up,False
b2805ee4c478194c234e2384ffb0a6bf<::>5,bm25_questions,bm25,questions,0.3868528072,16,5,clapnq,39,6,True,False,2,0,ANSWERABLE,Factoid,Follow-up,False
124e27c3861eff7dadd17993719a0beb<::>3,bm25_lastturn,bm25,lastturn,1.0,93,3,govt,31,7,True,True,2,0,ANSWERABLE,Factoid,Follow-up,False
79f0d0539d9ec0acbf90cb3388b30c17<::>6,bge_rewrite,bge,rewrite,0.7227265726,28,6,clapnq,59,11,False,False,0,0,ANSWERABLE,Factoid,Follow-up,False
91204c45fc829e328f9a3643d9dd4c2b<::>3,bm25_lastturn,bm25,lastturn,0.0,60,3,clapnq,32,7,False,True,0,0,PARTIAL,Factoid,Follow-up,False
717ca9138f07b4621887812f47499d74<::>5,elser_lastturn,elser,lastturn,0.6131471928,88,5,clapnq,86,15,True,True,1,0,ANSWERABLE,Composite,Follow-up,False
5c13daa9432149f6243aa1115629cd1a<::>4,bge_rewrite,bge,rewrite,0.5585075863,29,4,clapnq,16,4,True,False,0,0,ANSWERABLE,Factoid,Follow-up,False
d2432696b32af73cf3dabd7090997afb<::>5,bm25_lastturn,bm25,lastturn,1.0,97,5,govt,49,10,True,True,0,0,ANSWERABLE,Factoid,Follow-up,False
717ca9138f07b4621887812f47499d74<::>8,bge_lastturn,bge,lastturn,0.39038005,88,8,clapnq,102,21,True,True,3,0,ANSWERABLE,How-To,Follow-up,False
0ef145e49938dfb9b6eefe781d21dca8<::>1,elser_lastturn,elser,lastturn,0.4367467095,48,1,govt,88,15,True,True,2,0,ANSWERABLE,How-To,N/A,True
ca6f0197d2c0c4d6e3be090c3f8bf30f<::>1,elser_lastturn,elser,lastturn,1.0,24,1,fiqa,71,15,True,False,0,1,ANSWERABLE,Comparative,N/A,True
d4d8edb3e0c456d11033b14b28e99470<::>5,bge_rewrite,bge,rewrite,0.9197207891,43,5,fiqa,37,6,False,False,0,0,PARTIAL,Summarization,Follow-up,False
