enrichment_type,subtype,domain,strategy,count,percentage,mean_score,median_score,std_dev,min_score,max_score
question_types,How-To,all,lastturn,80,7.96,18.73546415,19.330767,4.859889882399541,5.407337,28.868387
question_types,How-To,all,rewrite,80,7.96,21.4581193625,21.660427,4.979970011602549,9.847249,34.281677
question_types,How-To,all,questions,80,7.96,20.8277384,20.429506,4.766885923803088,11.685927,35.015976
question_types,Explanation,all,lastturn,148,14.73,19.27140461554054,19.864627,4.641725189670269,5.464979,30.644619
question_types,Explanation,all,rewrite,148,14.73,21.29843258445946,21.742216,4.490575791814542,10.464879,31.975386
question_types,Explanation,all,questions,148,14.73,21.334853574324324,20.704171000000002,3.8335651556023596,11.253816,30.49077
question_types,Opinion,all,lastturn,80,7.96,18.28719546375,18.596819500000002,4.966056679217507,4.8060555,27.259182
question_types,Opinion,all,rewrite,80,7.96,20.88478547,20.9183475,4.200842633225869,7.9557276,31.554405
question_types,Opinion,all,questions,80,7.96,22.69801585625,22.375822499999998,4.3773537337822646,14.398303,38.07012
question_types,Summarization,all,lastturn,192,19.1,18.327187486979167,18.4860355,4.977129005751567,5.9655437,35.413162
question_types,Summarization,all,rewrite,192,19.1,20.8185997421875,21.259166,4.896626145166107,8.798764,35.413162
question_types,Summarization,all,questions,192,19.1,21.882767247395833,22.082155,4.559413100668594,10.792541,39.63394
question_types,Keyword,all,lastturn,73,7.26,16.652953682191782,16.50807,4.524798025337003,6.172295,27.383596
question_types,Keyword,all,rewrite,73,7.26,20.446301315068492,20.524548,4.898982112764664,6.830464,30.782236
question_types,Keyword,all,questions,73,7.26,22.283900191780823,22.651934,4.391491731429053,13.818919,32.802917
question_types,Non-Question,all,lastturn,69,6.87,17.612319105797102,18.408257,5.376107533744112,5.5316253,34.575405
question_types,Non-Question,all,rewrite,69,6.87,20.449197507246378,20.566607,4.832391734841484,9.741959,32.775345
question_types,Non-Question,all,questions,69,6.87,22.88739811594203,22.140244,4.581440695074674,14.87503,33.51014
question_types,Comparative,all,lastturn,44,4.38,19.851544670454544,18.283367,5.394719166768311,11.664249,34.159817
question_types,Comparative,all,rewrite,44,4.38,22.405637227272727,21.73668,4.513675598358217,15.197214,31.554405
question_types,Comparative,all,questions,44,4.38,21.750653613636363,20.8950635,4.646793859401441,15.693245,38.05144
question_types,Factoid,all,lastturn,255,25.37,19.026946168235295,19.182854,5.061179256436974,5.9709115,34.594685
question_types,Factoid,all,rewrite,255,25.37,21.37327043137255,21.8762,4.598100873011104,8.691966,34.294754
question_types,Factoid,all,questions,255,25.37,22.095642194117648,21.716492,4.404591417508386,11.557224,37.61918
question_types,Composite,all,lastturn,49,4.88,19.722580081632653,20.06309,3.774166298292693,12.083684,27.56135
question_types,Composite,all,rewrite,49,4.88,21.568325489795917,21.489233,3.5267863948744065,15.660088,29.400803
question_types,Composite,all,questions,49,4.88,21.598990908163266,21.394213,3.910262843863629,14.688102,32.597763
question_types,Troubleshooting,all,lastturn,15,1.49,19.720164666666665,20.429644,5.018846966928057,11.425273,31.760063
question_types,Troubleshooting,all,rewrite,15,1.49,20.581219333333333,20.942307,4.503428937043792,14.559974,29.500626
question_types,Troubleshooting,all,questions,15,1.49,26.1911278,28.4853,5.443409937908658,15.059842,33.34116
question_types,How-To,clapnq,lastturn,7,2.5,19.078655285714287,19.682344,4.642488441263827,10.805597,26.15658
question_types,How-To,clapnq,rewrite,7,2.5,21.810054714285716,20.776356,6.236537462021366,10.805597,29.400803
question_types,How-To,clapnq,questions,7,2.5,23.000005428571427,19.963602,5.41292222466654,18.009386,33.378796
question_types,How-To,cloud,lastturn,33,14.16,17.912911121212122,19.156775,5.241194087433176,5.407337,28.868387
question_types,How-To,cloud,rewrite,33,14.16,19.89544009090909,20.979336,5.069246578845158,9.847249,29.840057
question_types,How-To,cloud,questions,33,14.16,19.992971333333333,19.47138,4.932430164528698,12.622768,35.015976
question_types,How-To,fiqa,lastturn,19,7.63,20.637667842105262,21.734941,4.001848699406442,12.386556,26.552963
question_types,How-To,fiqa,rewrite,19,7.63,22.876265842105262,22.783194,2.819814136509183,16.240568,28.342005
question_types,How-To,fiqa,questions,19,7.63,21.050669894736842,20.812328,2.9382677609579932,14.799543,26.459301
question_types,How-To,govt,lastturn,21,8.64,18.192609,18.086288,4.8535961427549985,10.428513,26.58005
question_types,How-To,govt,rewrite,21,8.64,22.513361523809525,22.68734,5.555884795559863,11.685927,34.281677
question_types,How-To,govt,questions,21,8.64,21.213726285714287,20.988039,5.591553865990966,11.685927,33.190308
question_types,Explanation,clapnq,lastturn,39,13.93,20.06214932051282,20.062498,4.63894969311052,10.584376,30.644619
question_types,Explanation,clapnq,rewrite,39,13.93,22.76839941025641,23.030703,3.867668662854773,11.3913,31.975386
question_types,Explanation,clapnq,questions,39,13.93,21.531211384615386,20.99223,3.579545656154604,14.688102,30.293083
question_types,Explanation,cloud,lastturn,35,15.02,18.848701057142858,19.448648,4.0260244268052405,12.386479,28.449621
question_types,Explanation,cloud,rewrite,35,15.02,19.7781847,19.967796,4.597642211152112,11.696161,29.060701
question_types,Explanation,cloud,questions,35,15.02,21.596439,20.226448,4.957663980977556,11.253816,29.620369
question_types,Explanation,fiqa,lastturn,44,17.67,20.559365,21.519047,4.115091789132506,10.719011,28.002794
question_types,Explanation,fiqa,rewrite,44,17.67,22.65954165909091,22.9434015,3.960888911181058,14.641684,31.850721
question_types,Explanation,fiqa,questions,44,17.67,21.737682818181817,21.3168765,2.7578247538366703,17.44114,27.763733
question_types,Explanation,govt,lastturn,30,12.35,16.847582086666666,16.7003195,5.2203570839047675,5.464979,25.973373
question_types,Explanation,govt,rewrite,30,12.35,19.164804933333333,19.5791065,4.621150813776458,10.464879,28.791773
question_types,Explanation,govt,questions,30,12.35,20.1835892,19.7075385,3.982447530188962,13.111389,30.49077
question_types,Opinion,clapnq,lastturn,19,6.79,17.104353084210526,18.27055,4.853577164293365,6.9331846,24.496449
question_types,Opinion,clapnq,rewrite,19,6.79,20.043843663157894,20.44082,5.562321879516247,7.9557276,31.554405
question_types,Opinion,clapnq,questions,19,6.79,23.344084578947367,23.955647,4.377938720366842,16.985888,31.68175
question_types,Opinion,cloud,lastturn,8,3.43,19.4030955,19.7739885,4.306894055450268,12.951132,25.622688
question_types,Opinion,cloud,rewrite,8,3.43,20.866414,20.498253,3.4602372588499932,16.078785,26.270914
question_types,Opinion,cloud,questions,8,3.43,24.300460375,22.305089000000002,6.898820553362809,17.101849,38.07012
question_types,Opinion,fiqa,lastturn,42,16.87,19.98242969047619,20.287273,4.099774973925683,8.970489,27.259182
question_types,Opinion,fiqa,rewrite,42,16.87,22.017678904761905,22.7507445,3.3318538053388047,14.960004,27.845324
question_types,Opinion,fiqa,questions,42,16.87,22.381013011904763,22.4562965,3.160541239755711,15.086679,27.097546
question_types,Opinion,govt,lastturn,11,4.53,13.046010681818181,13.030707,4.9583326074283995,4.8060555,20.62591
question_types,Opinion,govt,rewrite,11,4.53,18.02508927272727,17.97896,3.75426673593569,11.255447,23.012955
question_types,Opinion,govt,questions,11,4.53,21.627039272727274,21.055143,6.17029831045278,14.398303,33.130585
question_types,Summarization,clapnq,lastturn,59,21.07,19.709784898305085,19.55501,4.7488064874365685,9.487217,35.413162
